ref	abbrev
pfam02994	Transposase_22
pfam14111	DUF4283
cd09080	TDP2
TIGR00195	Exodeoxyribonuclease_III
pfam17490	Tnp_22_dsRBD
cd09084	EEP-2
PRK13911	PRK13911
PRK11756	PRK11756
pfam14392	zf-CCHC_4
cd09280	RNase_HI_eukaryote_like
cd09276	Rnase_HI_RT_non_LTR
pfam00075	RNase_H
COG3568	ElsH
cd09278	RNase_HI_prokaryote_like
pfam05699	Dimer_Tnp_hAT
smart00614	ZnF_BED
pfam14291	DUF4371
pfam14372	DUF4413
pfam04937	DUF659
pfam02892	zf-BED
smart00597	ZnF_TTF
pfam18658	zf-C2H2_12
NF033545	transpos_IS630
pfam13358	DDE_3
pfam03184	DDE_1
pfam13565	HTH_32
pfam01498	HTH_Tnp_Tc3_2
COG3415	COG3415
pfam03221	HTH_Tnp_Tc5
smart00674	CENPB
pfam01359	Transposase_1
pfam17906	HTH_48
pfam13384	HTH_23
pfam13518	HTH_28
COG3335	COG3335
pfam04218	CENP-B_N
pfam13936	HTH_38
pfam05225	HTH_psq
pfam16087	DUF4817
pfam13412	HTH_24
smart00351	PAX
pfam18701	DUF5641
pfam05380	Peptidase_A17
pfam03564	DUF1759
pfam05585	DUF1758
cd15489	PHD_SF
cd15522	PHD_TAF3
cd15517	PHD_TCF19_like
smart00249	PHD
cd15560	PHD2_3_BPTF
cd15552	PHD_PHF3_like
cd15610	PHD3_KDM5A_like
cd15553	PHD_Cfp1
cd15556	PHD_MMD1_like
cd16039	PHD_SPP1
cd15529	PHD2_PHF10
cd15554	PHD_PHF2_like
cd15550	PHD_MLL5
cd15518	PHD_Ecm5p_Lid2p_like
cd15505	PHD_ING
cd15640	PHD_KDM7
cd15551	PHD_PYGO
cd15525	PHD_UHRF1_2
cd15638	PHD_PHF3
cd15510	PHD2_KMT2C_like
cd15520	PHD3_Lid2p_like
cd15613	PHD_AL_plant
cd15587	PHD_Yng1p_like
cd15585	PHD_ING3
cd15627	PHD_BAZ1A
cd15687	PHD3_KDM5B
cd15570	PHD_Bye1p_SIZ1_like
cd15563	PHD3_PHF14
cd15609	PHD_TCF19
cd15639	PHD_DIDO1_like
cd15543	PHD_RSF1
cd15544	PHD_BAZ1A_like
cd15594	PHD2_KMT2C
cd15508	PHD3_KMT2A_like
cd15495	PHD_ATX3_4_5_like
cd15506	PHD1_KMT2A_like
cd15595	PHD2_KMT2D
pfam00628	PHD
cd15545	PHD_BAZ2A_like
cd15519	PHD1_Lid2p_like
cd15586	PHD_ING4_5
cd15681	PHD_JADE3
cd15535	PHD1_Rco1
cd15632	PHD_PHF13
cd15679	PHD_JADE1
cd01646	RT_Bac_retron_I
TIGR04416	hypothetical_protein
cd00229	SGNH_hydrolase
pfam13472	Lipase_GDSL_2
cd01828	sialate_O-acetylesterase_like2
COG3344	COG3344
cd04501	SGNH_hydrolase_like_4
cd01832	SGNH_hydrolase_like_1
cd04502	SGNH_hydrolase_like_7
cd15636	PHD_PYGO2
COG2755	TesA
cd01841	NnaC_like
cd15635	PHD_PYGO1
cd01833	XynB_like
cd01648	TERT
cd01836	FeeA_FeeB_like
cd01825	SGNH_hydrolase_peri1
cd15637	PHD_dPYGO
pfam10551	MULE
smart00575	ZnF_PMZ
pfam04434	SWIM
pfam03108	DBD_Tnp_Mut
pfam03101	FAR1
PLN03097	FHY3
pfam09331	DUF1985
pfam02902	Peptidase_C48
pfam10536	PMD
pfam00872	Transposase_mut
COG3328	COG3328
cd22744	OTU
cd00799	INT_Cre_C
pfam11560	LAP2alpha
cd00397	DNA_BRE_C
pfam00589	Phage_integrase
pfam05869	Dam
pfam13495	Phage_int_SAM_4
pfam02899	Phage_int_SAM_1
cd01194	INT_C_like_4
cd01188	INT_RitA_C_like
cd00796	INT_Rci_Hp1_C
pfam02992	Transposase_21
pfam13963	Transpos_assoc
pfam13960	DUF4218
pfam13952	DUF4216
pfam03004	Transposase_24
pfam03017	Transposase_23
pfam20049	DUF6451
cd10442	GIY-YIG_PLEs
cd10443	GIY-YIG_HE_Tlr8p_PBC-V_like
cd00719	GIY-YIG_SF
cd10437	GIY-YIG_HE_I-TevI_like
cd09277	RNase_HI_bacteria_like
cd09273	RNase_HI_RT_Bel
PRK00203	rnhA
cd09081	CdtB
pfam13359	DDE_Tnp_4
pfam04827	Plant_tran
pfam14303	NAM-associated
NF033581	transpos_IS5_4
pfam13837	Myb_DNA-bind_4
cd12203	GT1
pfam01609	DDE_Tnp_1
cd10522	SET_LegAS4-like
cd19174	SET_ASH1L
cd19183	SET_SpSET3-like
cd20071	SET_SMYD
cd10529	SET_SETD5-like
cd10531	SET_SETD2-like
cd10533	SET_EHMT2
cd10535	SET_EHMT1
cd10538	SET_SETDB-like
cd19172	SET_SETD2
cd19175	SET_ASHR3-like
cd19211	SET_NSD2
cd20072	SET_SET1
pfam10545	MADF_DNA_bdg
pfam18697	MLVIN_C
pfam00077	RVP
cd09950	ENVV1-like_HR1-HR2
cd09948	Ebola_RSV-like_HR1-HR2
pfam02093	Gag_p30
cd09951	HERV-Rb-like_HR1-HR2
cd09851	HTLV-1-like_HR1-HR2
cd09850	Ebola-like_HR1-HR2
cd09947	Ebola_HIV-1-like_HR1-HR2
cd13934	RNase_H_Dikarya_like
pfam00429	TLV_coat
pfam01140	Gag_MA
cd05482	HIV_retropepsin_like
cd09949	RSV-like_HR1-HR2
PRK08719	PRK08719
pfam16721	zf-H3C2
PRK06548	PRK06548
cd18037	DEXSc_Pif1_like
pfam05970	PIF1
pfam14214	Helitron_like_N
cd17933	DEXSc_RecD-like
cd18809	SF1_C_RecD
pfam13604	AAA_30
cd18786	SF1_C
pfam13245	AAA_19
cd04480	RPA1_DBD_A_like
COG0507	RecD
cd04476	RPA1_DBD_C
cd04481	RPA1_DBD_B_like
pfam02721	DUF223
pfam13401	AAA_22
pfam13538	UvrD_C_2
pfam04843	Herpes_teg_N
cd22758	OTU_232R-like
smart00382	AAA
TIGR01448	recD_rel
cd22748	OTU_OTUD6-like
cd22755	OTU_CeDUB-like
cd22756	OTU_OTUD3-like
cd22747	OTU_OTUD1
cd22752	OTU_OTUD5-like
cd22753	OTU_ALG13-like
cd22771	OTU_plant_OTU7-like
cd22751	OTU_plant_OTU9-like
cd22757	OTU_P87_VP80-like
cd22762	OTU_fungi_OTU2-like
cd22794	OTU_OTUD4
cd22796	OTU_plant_OTU6-like
cd09083	EEP-1
pfam07530	PRE_C2HC
pfam00607	Gag_p24
pfam06817	RVT_thumb
pfam19317	Gag_p24_C
pfam02022	Integrase_Zn
pfam00552	IN_DBD_C
pfam00692	dUTPase
pfam14787	zf-CCHC_5
cd07557	trimeric_dUTPase
PRK00601	dut
pfam02337	Gag_p10
TIGR00576	Deoxyuridine_5'-triphosphate_nucleotidohydrolase
COG0756	Dut
PLN02547	PLN02547
PHA02703	PHA02703
PHA03094	PHA03094
smart00443	G_patch
pfam01585	G-patch
pfam00517	GP41
cd09909	HIV-1-like_HR1-HR2
PTZ00143	PTZ00143
pfam04160	Borrelia_orfX
PHA02517	PHA02517
pfam15695	HERV-K_REC
pfam12656	G-patch_2
pfam13804	HERV-K_env_2
NF033594	transpos_ISNCY_2
PHA03131	PHA03131
pfam02813	Retro_M
COG5082	AIR1
pfam13843	DDE_Tnp_1_7
cd22343	PDDEXK_lambda_exonuclease-like
cd00180	PKc
cd05122	PKc_STE
cd06917	STKc_NAK1_like
cd07832	STKc_CCRK
cd07847	STKc_CDKL1_4
cd13982	STKc_IRE1
cd14014	STKc_PknB_like
cd14133	PKc_DYRK_like
cd14229	STKc_HIPK3
pfam13842	Tnp_zf-ribbon_2
pfam01107	MP
pfam02160	Peptidase_A3
cd17920	DEXHc_RecQ
smart00490	HELICc
cd18018	DEXHc_RecQ4-like
pfam00271	Helicase_C
cd18794	SF2_C_RecQ
cd18017	DEXHc_RecQ3
pfam00270	DEAD
cd18016	DEXHc_RecQ2_BLM
smart00487	DEXDc
cd18015	DEXHc_RecQ1
cd18014	DEXHc_RecQ5
COG0514	RecQ
cd00046	SF2-N
cd17921	DEXHc_Ski2
PRK11057	PRK11057
TIGR00614	Werner_syndrome_ATP-dependent_helicase
cd18785	SF2_C
cd18787	SF2_C_DEAD
cd17923	DEXHc_Hrq1-like
cd18797	SF2_C_Hrq
cd18793	SF2_C_SNF
cd18796	SF2_C_LHR
cd17927	DEXHc_RIG-I
COG0513	SrmB
pfam04851	ResIII
cd18028	DEXHc_archSki2
cd18802	SF2_C_dicer
cd17926	DEXHc_RE
cd18023	DEXHc_HFM1
cd18795	SF2_C_Ski2
cd09639	Cas3_I
cd17922	DEXHc_LHR-like
cd18811	SF2_C_RecG
cd01820	PAF_acetylesterase_like
pfam03175	DNA_pol_B_2
pfam08398	Parvo_coat_N
PHA02563	PHA02563
pfam04665	Pox_A32
NF033516	transpos_IS3
cd18974	CD_POL_like
pfam02229	PC4
cd18965	chromodomain
pfam19263	DUF5906
cd00652	TBP_TLF
cd04516	TBP_eukaryotes
cd04517	TLF
cd04518	TBP_archaea
cd18976	CD_POL_like
COG2101	SPT15
pfam00352	TBP
pfam02945	Endonuclease_7
PLN00062	PLN00062
PRK00394	PRK00394
pfam05272	VirE
pfam18930	DUF5679
cd00009	AAA
cd00022	BIR
cd00094	HX
cd18969	chromodomain
cd18972	CD_POL_like
pfam04383	KilA-N
pfam12943	DUF3839
sd00017	ZF_C2H2
pfam13894	zf-C2H2_4
cd00167	SANT
pfam05485	THAP
pfam12017	Tnp_P_element
smart00692	DM3
smart00980	THAP
pfam12596	Tnp_P_element_C
PRK07764	PRK07764
pfam09004	DUF1891
pfam01021	TYA
pfam09668	Asp_protease
TIGR03033	hypothetical_protein
pfam09588	YqaJ
pfam13613	HTH_Tnp_4
cd15682	PHD_ING1
cd15683	PHD_ING2
cd15685	PHD_ING5
cd15584	PHD_ING1_2
cd15684	PHD_ING4
pfam02037	SAP
pfam16012	DUF4780
cd22761	OTU_OTUD6
cd22770	OTU_OTUD3
cd22797	OTU_plant_OTU5-like
cd22760	OTU_plant_OTU4-like
cd22746	OTU_plant_OTU3_4-like
cd22795	OTU_ALG13
cd22759	OTU_plant_OTU3-like
cd00096	Ig
cd05717	IgV_1_Necl_like
cd05718	IgV_1_PVR_like
cd05719	IgC1_2_PVR_like
cd05725	IgI_3_Robo
cd05846	IgV_1_MRC-OX-2_like
cd05882	IgV_1_Necl-1
cd05886	IgV_1_Nectin-1_like
cd05887	IgV_1_Nectin-3_like
cd05888	IgV_1_Nectin-4_like
cd05889	IgV_1_DNAM-1_like
cd05890	IgC1_2_Nectin-1_like
cd07703	IgC1_2_Nectin-2_Necl-5_like
cd07704	IgC1_2_Nectin-3-4_like
cd16089	IgV_CRIg
cd20930	Ig3_Nectin-5_like
cd20989	IgV_1_Nectin-2_NecL-5_like_CD112_CD155
pfam07686	V-set
pfam08205	C2-set_2
pfam13927	Ig_3
smart00410	IG_like
pfam16124	RecQ_Zn_bind
NF033563	transpos_IS30
cd00590	RRM_SF
cd12224	RRM_RBM22
cd12229	RRM_G3BP
cd12233	RRM_Srp1p_AtRSp31_like
cd12236	RRM_snRNP70
cd12237	RRM_snRNP35
cd12242	RRM_SLIRP
cd12297	RRM2_Prp24
cd12312	RRM_SRSF10_SRSF12
cd12316	RRM3_RBM19_RRM2_MRD1
cd12320	RRM6_RBM19_RRM5_MRD1
cd12324	RRM_RBM8
cd12337	RRM1_SRSF4_like
cd12338	RRM1_SRSF1_like
cd12341	RRM_hnRNPC_like
cd12343	RRM1_2_CoAA_like
cd12347	RRM_PPIE
cd12363	RRM_TRA2
cd12373	RRM_SRSF3_like
cd12382	RRM_RBMX_like
cd12390	RRM3_RAVER
cd12391	RRM1_SART3
cd12392	RRM2_SART3
cd12398	RRM_CSTF2_RNA15_like
cd12399	RRM_HP0827_like
cd12400	RRM_Nop6
cd12402	RRM_eIF4B
cd12404	RRM2_NCL
cd12412	RRM_DAZL_BOULE
cd12413	RRM1_RBM28_like
cd12414	RRM2_RBM28_like
cd12448	RRM2_gar2
cd12449	RRM_CIRBP_RBM3
cd12450	RRM1_NUCLs
cd12494	RRM3_hnRNPR
cd12597	RRM1_SRSF1
cd12599	RRM1_SF2_plant_like
cd12608	RRM1_CoAA
cd12641	RRM_TRA2B
cd12642	RRM_TRA2A
cd12672	RRM_DAZL
cd12674	RRM1_Nop4p
cd12676	RRM3_Nop4p
cd21607	RRM3_HRB1_GBP2
cd21608	RRM2_NsCP33_like
cd21615	RRM_SNP1_like
COG1877	OtsB
pfam00076	RRM_1
smart00360	RRM
cd15492	PHD_BRPF_JADE_like
pfam02257	RFX_DNA_binding
cd15536	PHD_PHRF1
cd15573	PHD_JADE
cd15515	PHD1_KDM5A_like
cd15532	PHD2_CHD_II
cd15572	PHD_BRPF
cd15603	PHD1_KDM5B
cd15628	PHD_BAZ1B
cd15677	PHD_BRPF2
cd15680	PHD_JADE2
pfam12012	DUF3504
cd06141	WRN_exo
cd06146	mut-7_like_exo
cd06129	RNaseD_like
cd09018	DEDDy_polA_RNaseD_like_exo
pfam01612	DNA_pol_A_exo1
smart00474	35EXOc
cd06142	RNaseD_exo
pfam06975	DUF1299
pfam18717	CxC4
pfam18758	KDZ
pfam18866	CxC7
pfam12550	GCR1_C
pfam16787	NDC10_II
NF033547	transpos_IS1595
pfam12762	DDE_Tnp_IS1595
cd22792	OTU_RDRP-like
